"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "wxml", "Less", "comment", "blank", "total"
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.wxml", "wxml", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.wxss", "CSS", 0, 73, 0, 0, 0, 0, 0, 11, 84
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.js", "JavaScript", 70, 0, 0, 0, 0, 0, 3, 6, 79
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.wxml", "wxml", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.wxss", "CSS", 0, 63, 0, 0, 0, 0, 0, 10, 73
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 5, 17
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.wxml", "wxml", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.wxss", "CSS", 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.js", "JavaScript", 43, 0, 0, 0, 0, 0, 3, 6, 52
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.wxml", "wxml", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.wxss", "CSS", 0, 73, 0, 0, 0, 0, 0, 11, 84
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.js", "JavaScript", 134, 0, 0, 0, 0, 0, 20, 3, 157
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.wxml", "wxml", 0, 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.wxss", "CSS", 0, 90, 0, 0, 0, 0, 0, 10, 100
"c:\Users\19332\Desktop\呼吸之友\miniprogram\sitemap.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\19332\Desktop\呼吸之友\miniprogram\styles\colorui\animation.wxss", "CSS", 0, 141, 0, 0, 0, 0, 6, 37, 184
